"ITTER107","Territorio","TIPO_DATO2","Tipo indice","MISURA1","Misura","TYPPURCH","Abitazioni compravendute","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2022-Q3","T3-2022",106.9,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","ALL","H1 - tutte le voci","2022-Q4","T4-2022",106.9,"p","dato provvisorio"
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2010-Q2","T2-2010",99.9,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2010-Q1","T1-2010",99.5,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2010-Q4","T4-2010",102.6,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2010-Q3","T3-2010",101,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2011-Q1","T1-2011",102.3,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2011-Q2","T2-2011",104,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2011-Q4","T4-2011",105.1,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2011-Q3","T3-2011",104.4,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2012-Q2","T2-2012",106.8,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2012-Q1","T1-2012",105.9,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2012-Q4","T4-2012",106.5,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2012-Q3","T3-2012",106.1,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2013-Q1","T1-2013",105.4,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2013-Q2","T2-2013",105.3,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2013-Q4","T4-2013",103.7,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2013-Q3","T3-2013",104.8,,
